| Ziegler Ag Equipment - Mason City                         | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Weisberg Implement & Supply - Webster City                | "Sales Department, larry@weisbergimp.com"                                               | "Sales Department, larry@weisbergimp.com"                                               |
| Ziegler Ag Equipment - Sheldon                            | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Ziegler Ag Equipment - Altoona                            | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Vetter Equipment - Nevada                                 | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Shenandoah                             | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Ziegler Ag Equipment - Fort Dodge                         | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Vetter Equipment - Missouri Valley                        | "Dean Buseman, jfoulk@vetterequip.com"                                                  | "Dean Buseman, jfoulk@vetterequip.com"                                                  |
| Vetter Equipment - Onawa                                  | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Indianola                              | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Mount Ayr                              | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Ziegler Ag Equipment - Atlantic                           | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Vetter Equipment - Corydon                                | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Clarinda                               | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Denison                                | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Ida Grove                              | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Storm Lake                             | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Vetter Equipment - Audubon                                | "Sales Department, sales@vetterequip.com"                                               | "Sales Department, sales@vetterequip.com"                                               |
| Van Wall Equipment - Urbandale                            | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment  - Toledo                              | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Sac City                             | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Oskaloosa                            | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Perry                                | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Madrid                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Nevada                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Indianola                            | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Hubbard                              | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment  - Marshalltown                        | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Knoxville                            | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment  - Grinnell                            | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Story City                           | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Hampton                              | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Grundy Center                        | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Greene                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Denison                              | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment  - Albia                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Ankeny                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Colfax                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Van Wall Equipment - Carroll                              | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Titan Machinery - Waverly                                 | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Sioux City                              | "Sales Department 4, 4, leadmanagement@titanmachinery.com"                              | "Sales Department 4, 4, leadmanagement@titanmachinery.com"                              |
| Town & Country Implement - Rock Valley                    | "Sales, sales@townandcountryimpl.com"                                                   | "Sales, sales@townandcountryimpl.com"                                                   |
| Titan Machinery - Williams                                | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Greenfield                              | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Davenport                               | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Pella                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Le Mars                                 | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Des Moines                              | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Grundy Center                           | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Kingsley                                | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Blairstown                              | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Titan Machinery - Center Point                            | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| Steve Robinson Equipment - Mechanicsville                 | "Steve Robinson, skbr@netins.net"                                                       | "Steve Robinson, skbr@netins.net"                                                       |
| Schmitt Implement - Holy Cross                            | "Jack Schmitt, Sales Manager, schmittimplement@gmail.com"                               | "Jack Schmitt, Sales Manager, schmittimplement@gmail.com"                               |
| Rolling Hills Equipment                                   | "Ryan Ernst, Owner, info@rhequip.com"                                                   | "Ryan Ernst, Owner, info@rhequip.com"                                                   |
| Swartzrock Implement Co. - Charles City                   | "Steven  Swartzrock, Owner, bikeacrossiowa@gmail.com"                                   | "Steven  Swartzrock, Owner, bikeacrossiowa@gmail.com"                                   |
| Sorensen Equipment Company - Harlan                       | "Roger, Corey Sorensen, sales@sorensenequipment.com"                                    | "Roger, Corey Sorensen, sales@sorensenequipment.com"                                    |
| Titan Machinery - Avoca                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   | "Sales Department, leadmanagement@titanmachinery.com"                                   |
| "Ryan Machinery Sales, Inc. - Protivin"                   | "Dale Ryan, President, djryan6944@gmail.com"                                            | "Dale Ryan, President, djryan6944@gmail.com"                                            |
| Robinson Implement - Irwin                                | "Sales Department,     robinsonimplement8@gmail.com"                                    | "Sales Department,     robinsonimplement8@gmail.com"                                    |
| Roeder Brothers - Bellevue                                | "Nick Roeder, nick@roederbrothersinc.com"                                               | "Nick Roeder, nick@roederbrothersinc.com"                                               |
| "Reiser Implement, Inc. - Waukon"                         | "Ken Reiser, Owner/Sales Manager, kenr@reiserimpl.com"                                  | "Ken Reiser, Owner/Sales Manager, kenr@reiserimpl.com"                                  |
| Red Power Team - Spencer                                  | "Brad Hyde, Manager, shawnm@redpowerteam.com"                                           | "Brad Hyde, Manager, shawnm@redpowerteam.com"                                           |
| Roeder Implement - Dubuque                                | "John Roeder, General Manager/Sales Manager, john@roederimplement.com"                  | "John Roeder, General Manager/Sales Manager, john@roederimplement.com"                  |
| Robinson Implement - Pocahontas                           | "Sales Department, robinsonimplement8@gmail.com"                                        | "Sales Department, robinsonimplement8@gmail.com"                                        |
| Red Power Team - West Bend                                | "Joe Montag, Store Manager, shawnm@redpowerteam.com"                                    | "Joe Montag, Store Manager, shawnm@redpowerteam.com"                                    |
| Red Power Team - New Hampton                              | "Doug Quinn, General Manager, shawnm@redpowerteam.com"                                  | "Doug Quinn, General Manager, shawnm@redpowerteam.com"                                  |
| Red Power Team - Humboldt                                 | "Rob Hinton, General Manager, shawnm@redpowerteam.com"                                  | "Rob Hinton, General Manager, shawnm@redpowerteam.com"                                  |
| Red Power Team - Manson                                   | "Dave Plahn, General Manager, shawnm@redpowerteam.com"                                  | "Dave Plahn, General Manager, shawnm@redpowerteam.com"                                  |
| Red Power Team - Mason City                               | "Larry Reddel, Store Manager, shawnm@redpowerteam.com"                                  | "Larry Reddel, Store Manager, shawnm@redpowerteam.com"                                  |
| Red Power Team - Corwith                                  | "Bob Collins, General Manager, shawnm@redpowerteam.com"                                 | "Bob Collins, General Manager, shawnm@redpowerteam.com"                                 |
| Recker's Enterprises - Hopkinton                          | "Corey Recker, cerecker@yousq.net"                                                      | "Corey Recker, cerecker@yousq.net"                                                      |
| Red Power Team - Estherville                              | "Kenny Garman, Store Manager, shawnm@redpowerteam.com"                                  | "Kenny Garman, Store Manager, shawnm@redpowerteam.com"                                  |
| Plagge Equipment - Clear Lake                             | "Tony Plagge, plaggeequipment@yahoo.com"                                                | "Tony Plagge, plaggeequipment@yahoo.com"                                                |
| P&K Midwest - Waverly                                     | "Brian Wrage, Store Manager, waverly-sales@pkmidwest.com"                               | "Brian Wrage, Store Manager, waverly-sales@pkmidwest.com"                               |
| P&K Midwest - Waterloo                                    | "Matthew Pifkin, Store Manager, waterloo-sales@pkmidwest.com"                           | "Matthew Pifkin, Store Manager, waterloo-sales@pkmidwest.com"                           |
| P&K Midwest - Sumner                                      | "Greg Prochaska, Store Manager, sumner-sales@pkmidwest.com"                             | "Greg Prochaska, Store Manager, sumner-sales@pkmidwest.com"                             |
| Prairie Ag Supply - Prairie City                          | sales@prairieagsupply.com                                                               | sales@prairieagsupply.com                                                               |
| P&K Midwest - Maquoketa                                   | "Angie Petersen, Store Manager, maquoketa-sales@pkmidwest.com"                          | "Angie Petersen, Store Manager, maquoketa-sales@pkmidwest.com"                          |
| P&K Midwest - Lowden                                      | "Taylor Schwartz, lowden-sales@pkmidwest.com"                                           | "Taylor Schwartz, lowden-sales@pkmidwest.com"                                           |
| P&K Midwest - Mt. Vernon                                  | "Kyle Kunkel, Store Manager, mtvernon-sales@pkmidwest.com"                              | "Kyle Kunkel, Store Manager, mtvernon-sales@pkmidwest.com"                              |
| P&K Midwest - Hiawatha                                    | "Kevin Gunderson, Store Manager, hiawatha-sales@pkmidwest.com"                          | "Kevin Gunderson, Store Manager, hiawatha-sales@pkmidwest.com"                          |
| P&K Midwest - Keystone                                    | "Herk Schmidt, Store Manager, keystone-sales@pkmidwest.com"                             | "Herk Schmidt, Store Manager, keystone-sales@pkmidwest.com"                             |
| "Nessa, Inc. - Zearing"                                   | "Luke or Kevin Nessa, Owner, info@nessainc.com"                                         | "Luke or Kevin Nessa, Owner, info@nessainc.com"                                         |
| P&K Midwest - DeWitt                                      | "Neil  Mason, dewitt-sales@pkmidwest.com"                                               | "Neil  Mason, dewitt-sales@pkmidwest.com"                                               |
| Martin Ag Supply - Orchard                                | "Sales Department, martinag@ibyfax.com"                                                 | "Sales Department, martinag@ibyfax.com"                                                 |
| Nate's Tractor - Riceville                                | "Nathan Fox, Owner, nate@natestractor.com"                                              | "Nathan Fox, Owner, nate@natestractor.com"                                              |
| McRobert's Red Power - Greene                             | "Adam Otto, Manager, shawnm@redpowerteam.com"                                           | "Adam Otto, Manager, shawnm@redpowerteam.com"                                           |
| "O'Brien County Implement, Inc. - Sheldon"                | "Jay Schemper, Marketing Manager, obcijay@nethtc.net"                                   | "Jay Schemper, Marketing Manager, obcijay@nethtc.net"                                   |
| Lindeman Tractor - Atlantic                               | "Sales Department, chrisw@qwestoffice.net"                                              | "Sales Department, chrisw@qwestoffice.net"                                              |
| Mid-Iowa Auction Company - Marshalltown                   | "Matt Paglia, matt@midiowaauctioncompany.com"                                           | "Matt Paglia, matt@midiowaauctioncompany.com"                                           |
| Leid View Tractors - Osage                                | "Kevin Leid, Sales, jdtractors@pcfreemail.com"                                          | "Kevin Leid, Sales, jdtractors@pcfreemail.com"                                          |
| Kunau Implement - DeWitt                                  | "John Marshall, sales@kunauimplement.com"                                               | "John Marshall, sales@kunauimplement.com"                                               |
| Kunau Implement - Preston                                 | "John Marshall, sales@kunauimplement.com"                                               | "John Marshall, sales@kunauimplement.com"                                               |
| "Kruseman Implement, Inc. - Sully"                        | "Doyle Huyser, Owner, krusemanimpl@netins.net"                                          | "Doyle Huyser, Owner, krusemanimpl@netins.net"                                          |
| Kromminga Motors - Vinton                                 | "Don Peters, DHPeters@krommingamotors.com"                                              | "Don Peters, DHPeters@krommingamotors.com"                                              |
| Kibble Equipment - Northwood                              | "Chris Thofson, Sales Manager, chris.thofson@kibbleeq.com"                              | "Chris Thofson, Sales Manager, chris.thofson@kibbleeq.com"                              |
| Kromminga Motors - Monticello                             | "Don Peters, DHPeters@krommingamotors.com"                                              | "Don Peters, DHPeters@krommingamotors.com"                                              |
| Koshatka Farm Equipment - Protivin                        | "Sales, zach@koshatkaeq.com"                                                            | "Sales, zach@koshatkaeq.com"                                                            |
| Kibble Equipment - Osage                                  | "Kelly Ott, Sales Manager, kelly.ott@kibbleeq.com"                                      | "Kelly Ott, Sales Manager, kelly.ott@kibbleeq.com"                                      |
| Keim Farm Equipment - Hamburg                             | "Bruce Keim, Sales, bkeim@hamburgia.net"                                                | "Bruce Keim, Sales, bkeim@hamburgia.net"                                                |
| Keast Enterprises - Henderson                             | "Keast Enterprises, Sales Manager, grant@keastenterprises.com"                          | "Keast Enterprises, Sales Manager, grant@keastenterprises.com"                          |
| KDK Sales & Equipment - Washington                        | "Greg Koch, Owner/Principal, greg@kdkgroup.com"                                         | "Greg Koch, Owner/Principal, greg@kdkgroup.com"                                         |
| K.C. Nielsen LTD. - Titonka                               | "Sales Department, tsn@kcnielsen.com"                                                   | "Sales Department, tsn@kcnielsen.com"                                                   |
| K.C Nielsen LTD. - Woolstock                              | "Dennis Simmons, Store Manager, tsn@kcnielsen.com"                                      | "Dennis Simmons, Store Manager, tsn@kcnielsen.com"                                      |
| K.C Nielsen LTD. - Kanawha                                | "Tom Nedved, Store Manager, tsn@kcnielsen.com"                                          | "Tom Nedved, Store Manager, tsn@kcnielsen.com"                                          |
| K.C. Nielsen LTD. - West Bend                             | "Sales Department, tsn@kcnielsen.com"                                                   | "Sales Department, tsn@kcnielsen.com"                                                   |
| K.C Nielsen LTD. - Manson                                 | "Jeff Eischeid, Sales Manager, tsn@kcnielsen.com"                                       | "Jeff Eischeid, Sales Manager, tsn@kcnielsen.com"                                       |
| K.C. Nielsen LTD. - Algona                                | "Sales Department, tsn@kcnielsen.com"                                                   | "Sales Department, tsn@kcnielsen.com"                                                   |
| K.C Nielsen LTD. - Humboldt                               | "Tyler Nielsen, Marketing Manager, tsn@kcnielsen.com"                                   | "Tyler Nielsen, Marketing Manager, tsn@kcnielsen.com"                                   |
| K.C Nielsen LTD. - Harcourt                               | "Tom Rabbitt, Store Manager, tsn@kcnielsen.com"                                         | "Tom Rabbitt, Store Manager, tsn@kcnielsen.com"                                         |
| K.C Nielsen LTD. - Laurens                                | "Doug Basset, Store Manager, tsn@kcnielsen.com"                                         | "Doug Basset, Store Manager, tsn@kcnielsen.com"                                         |
| K.C. Nielsen LTD. - Estherville                           | "Sales Department, tsn@kcnielsen.com"                                                   | "Sales Department, tsn@kcnielsen.com"                                                   |
| K.C. Nielsen LTD. - Buffalo Center                        | "Sales Department, tsn@kcnielsen.com"                                                   | "Sales Department, tsn@kcnielsen.com"                                                   |
| "J.J. Nichting Co., Inc. - Sigourney"                     | Sales Department                                                                        | Sales Department                                                                        |
| "J.P. Scherrman, Inc."                                    | "Paul Scherrman, President, pauls@jpscherrman.com"                                      | "Paul Scherrman, President, pauls@jpscherrman.com"                                      |
| "J.J. Nichting Co., Inc. - Pilot Grove"                   | "Pat  McCrabb, General Manager , pat@jjnichting.com"                                    | "Pat  McCrabb, General Manager , pat@jjnichting.com"                                    |
| "J.J. Nichting Co., Inc. - West Liberty"                  | Sales Department                                                                        | Sales Department                                                                        |
| "J.J. Nichting Co., Inc. - Mt. Pleasant"                  | "Pat McCrabb, Sales Manager, pat@jjnichting.com"                                        | "Pat McCrabb, Sales Manager, pat@jjnichting.com"                                        |
| JJAM Equipment - Eagle Grove                              | "Kevin Burres, Marketing Manager, kpburres@wmtel.net"                                   | "Kevin Burres, Marketing Manager, kpburres@wmtel.net"                                   |
| Hussey & Company - Belmond                                | "Josh, Owner, josh@husseyco.com"                                                        | "Josh, Owner, josh@husseyco.com"                                                        |
| "Jaycox Implement, Inc. - Lake Park"                      | Sales Department                                                                        | Sales Department                                                                        |
| Horizon Equipment - Manning                               | Internet Sales                                                                          | Internet Sales                                                                          |
| Horizon Equipment - Woodbine                              | Internet Sales                                                                          | Internet Sales                                                                          |
| Horizon Equipment - Missouri Valley                       | Internet Sales                                                                          | Internet Sales                                                                          |
| Horizon Equipment - Audubon                               | Internet Sales                                                                          | Internet Sales                                                                          |
| Horizon Equipment - Avoca                                 | Internet Sales                                                                          | Internet Sales                                                                          |
| "Gordy's Repair & Implement, LTD. - Stacyville"           | "Les Hardy, Marketing Manager, gordyssales@myomnitel.com"                               | "Les Hardy, Marketing Manager, gordyssales@myomnitel.com"                               |
| Horizon Equipment - Adair                                 | Internet Sales                                                                          | Internet Sales                                                                          |
| Grinnell Implement Store - Grinnell                       | "Sales,     sales@grinnellimplement.com"                                                | "Sales,     sales@grinnellimplement.com"                                                |
| "Franzen Sales & Service, LTD. - Fort Atkinson"           | Sales Department                                                                        | Sales Department                                                                        |
| Franken Implement - Rock Valley                           | "Tyler Franken, tylerfranken@frankenimplement.com"                                      | "Tyler Franken, tylerfranken@frankenimplement.com"                                      |
| "Goos Implement, Ltd. - Gladbrook"                        | "Ben Goos, VP, ben@goosimplement.com"                                                   | "Ben Goos, VP, ben@goosimplement.com"                                                   |
| Fertilizer Equipment Specialists - Clear Lake             | "Carey Umbarger, President, carey@fes.net"                                              | "Carey Umbarger, President, carey@fes.net"                                              |
| D&L Equipment - Kensett                                   | "Dave Heiken, Marketing Manager, dlequip@wctatel.net"                                   | "Dave Heiken, Marketing Manager, dlequip@wctatel.net"                                   |
| Fenton Repair LLC - Strawberry Point                      | "Dave Fenton, Manager, fentond@acrec.com"                                               | "Dave Fenton, Manager, fentond@acrec.com"                                               |
| Hawke & Company Ag - Alton                                | "Riley or Dustin, rileyk@hawkeag.com"                                                   | "Riley or Dustin, rileyk@hawkeag.com"                                                   |
| "Cropstar LLC - Colo, IA"                                 | "Dennis Hapes, dhapes@netins.net"                                                       | "Dennis Hapes, dhapes@netins.net"                                                       |
| "Del-Clay Farm Equipment - Edgewood, IA"                  | "Sales Department, jfunke@delclay.com"                                                  | "Sales Department, jfunke@delclay.com"                                                  |
| "Eldon C. Stutsman, Inc. - Hills"                         | "Sales, Sales, mstrait@stutsmans.com"                                                   | "Sales, Sales, mstrait@stutsmans.com"                                                   |
| "Cropstar LLC - Yarmouth, IA"                             | "Cully Brumwell, cropstarconsulting@gmail.com"                                          | "Cully Brumwell, cropstarconsulting@gmail.com"                                          |
| Dettmann Implement Company - Sac City                     | "Donavon Dettmann, Owner, detimp@frontiernet.net"                                       | "Donavon Dettmann, Owner, detimp@frontiernet.net"                                       |
| Cove Equipment - Columbus City                            | "Gary Kelting, Sales, gary@coveequip.com"                                               | "Gary Kelting, Sales, gary@coveequip.com"                                               |
| Deitering Brothers-Bancroft                               | "Alan Deitering, Owner/Manager, info@deiteringbrothers.com"                             | "Alan Deitering, Owner/Manager, info@deiteringbrothers.com"                             |
| Deike Implement Company - Waverly                         | "sales, sales, information@deikeimplement.com"                                          | "sales, sales, information@deikeimplement.com"                                          |
| Cove Equipment - Moscow                                   | "Gary Kelting, Sales, gary@coveequip.com"                                               | "Gary Kelting, Sales, gary@coveequip.com"                                               |
| "C & B Operations, LLC - Spencer"                         | "Bryce Ricklefs, Store Manager, xxm7404@deerequipment.com"                              | "Bryce Ricklefs, Store Manager, xxm7404@deerequipment.com"                              |
| Coltrain Implement - Albia                                | "Richard Coltrain, coltrainimpl@sirisonline.com"                                        | "Richard Coltrain, coltrainimpl@sirisonline.com"                                        |
| "CJ Beeps Equipment, LLC"                                 | "Sales, elahey@cjbeepsequipment.com"                                                    | "Sales, elahey@cjbeepsequipment.com"                                                    |
| Central Iowa Farm Store - Marshalltown                    | "Todd Casady, Owner, todd@centraliowafarmstore.com"                                     | "Todd Casady, Owner, todd@centraliowafarmstore.com"                                     |
| "C & B Operations, LLC - Lake Park"                       | "Nick Elser, Store Manager, elsern@deerequipment.com"                                   | "Nick Elser, Store Manager, elsern@deerequipment.com"                                   |
| Casady Brothers Implement - Webster City                  | "Ryan, Sales Manager, ryan@casadybrosimpl.com"                                          | "Ryan, Sales Manager, ryan@casadybrosimpl.com"                                          |
| "C & B Operations, LLC - Sibley"                          | "Kyle O'Toole, Store Manager, otoolek@deerequipment.com"                                | "Kyle O'Toole, Store Manager, otoolek@deerequipment.com"                                |
| "C & B Operations, LLC - Storm Lake"                      | "Jeff Hultgren, Sales, xxm7404@deerequipment.com"                                       | "Jeff Hultgren, Sales, xxm7404@deerequipment.com"                                       |
| Carroll Implement - Luverne                               | "Denny Carroll, Owner, carrollimp@live.com"                                             | "Denny Carroll, Owner, carrollimp@live.com"                                             |
| "C & B Operations, LLC - Ida Grove"                       | "Casey Cameron, Store Manager, cameronc@deerequipment.com"                              | "Casey Cameron, Store Manager, cameronc@deerequipment.com"                              |
| Caltrider Machinery - Casey                               | "Kurt Caltrider, Owner, lindand@netins.net"                                             | "Kurt Caltrider, Owner, lindand@netins.net"                                             |
| Brakke Implement - Mason City                             | "Jeff Brakke, jeffbrakkeimp@netconx.net"                                                | "Jeff Brakke, jeffbrakkeimp@netconx.net"                                                |
| C&A Fox Farms LLC - Orchard                               | "Curt Fox, sales@foxfarmsllc.com"                                                       | "Curt Fox, sales@foxfarmsllc.com"                                                       |
| "Brynsaas Sales & Service, Inc. - Decorah"                | "Ryan Brynsaas, Marketing Manager, ryan.bss@neitel.net"                                 | "Ryan Brynsaas, Marketing Manager, ryan.bss@neitel.net"                                 |
| Brokaw Supply                                             | "Mitch Simpson, mitch.simpson@brokawsupply.com"                                         | "Mitch Simpson, mitch.simpson@brokawsupply.com"                                         |
| Bodensteiner Implement Company - Rowley                   | "Kevin Haynes, Store Manager, haynesk@bodimp.com"                                       | "Kevin Haynes, Store Manager, haynesk@bodimp.com"                                       |
| Bodensteiner Implement Company - Waukon                   | "Kyle Halverson, Sales Lead, halversonK@bodimp.com"                                     | "Kyle Halverson, Sales Lead, halversonK@bodimp.com"                                     |
| Bodensteiner Implement Company - Monticello               | "Jim Haughenbury, Store Manager, haughenburyj@bodimp.com"                               | "Jim Haughenbury, Store Manager, haughenburyj@bodimp.com"                               |
| Bodensteiner Implement Company - New Hampton              | "Lloyd Phillips, Store Manager, phillipsl@bodimp.com"                                   | "Lloyd Phillips, Store Manager, phillipsl@bodimp.com"                                   |
