Name,Physical_address,Postal_address,Email,Phone,url
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644,https://directory.ntschools.net/#/schools/details/yirarsch
Yirrkala Homeland School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",yhs.admin@ntschools.net,(08) 898 71224,https://directory.ntschools.net/#/schools/details/yirrkhlc
Alyangula Area School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT",alyangula.admin@ntschools.net,(08) 8987 6366,https://directory.ntschools.net/#/schools/details/alyanas
Amanbidji School,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",nicolette.correy@ntschools.net,(08) 9168 7380,https://directory.ntschools.net/#/schools/details/amanbsch
Alyarrmandumanja Umbakumba School,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@ntschools.net,(08) 8987 6793,https://directory.ntschools.net/#/schools/details/umbaksch
Alpurrurulam School,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD",daven.scott@ntschools.net,(07) 4748 4887,https://directory.ntschools.net/#/schools/details/alpursch
Alice Springs Steiner School,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT",accounts@alicesteiner.nt.edu.au,(08) 8953 4578,https://directory.ntschools.net/#/schools/details/alicespringssteinerschool
Ampilatwatja School,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",geoff.gillman@ntschools.net,(08) 8956 9265,https://directory.ntschools.net/#/schools/details/ampilsch
Yipirinya School,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",yipirinya@yipirinya.com.au,(08) 8952 5633,https://directory.ntschools.net/#/schools/details/yipirsch
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",david.oke@ntschools.net,(08) 8975 0809,https://directory.ntschools.net/#/schools/details/yarrasch
Xavier CEC,"Kerinauia Hwy, Nguiu, NT","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au,(08) 8978 3970,https://directory.ntschools.net/#/schools/details/xaviesch
Wurankuwu Homeland Learning Centre,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",tba,(08) 8978 3986,https://directory.ntschools.net/#/schools/details/wuransch
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@ntschools.net,(08) 898 37800,https://directory.ntschools.net/#/schools/details/wulagsch
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@ntschools.net,(08) 8975 4529,https://directory.ntschools.net/#/schools/details/wugulsch
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@ntschools.net,(08) 8978 2984 / 0477 333 413,https://directory.ntschools.net/#/schools/details/woolisch
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@ntschools.net,(08) 8978 2334,https://directory.ntschools.net/#/schools/details/woolasch
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@ntschools.net,(08) 898 37600,https://directory.ntschools.net/#/schools/details/woodrsch
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@ntschools.net,(08) 8956 8408,https://directory.ntschools.net/#/schools/details/willosch
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",anthony.smith@ntschools.net,(08) 8956 8555,https://directory.ntschools.net/#/schools/details/watiysch
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",christine.munro@ntschools.net,(08) 8956 7758,https://directory.ntschools.net/#/schools/details/watarsch
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",stuart.bramston@ntschools.net,(08) 8979 0222,https://directory.ntschools.net/#/schools/details/warrusch
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@ntschools.net,(08) 8927 1655,https://directory.ntschools.net/#/schools/details/wangusch
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@ntschools.net,(08)  8964 6056,https://directory.ntschools.net/#/schools/details/walunsch
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@ntschools.net,(08) 8922 6011,https://directory.ntschools.net/#/schools/details/wagamsch
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",admin.urapunga@ntschools.net,(08) 8975 4645,https://directory.ntschools.net/#/schools/details/urapusch
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@ntschools.net,(08) 898 37924,https://directory.ntschools.net/#/schools/details/malrcsch
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",tiwi.college@ntschools.net,08 89709024,https://directory.ntschools.net/#/schools/details/tiwichs
Tivendale School,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",rodney.cremona@ntschools.net,(08) 899 95910,https://directory.ntschools.net/#/schools/details/dondasch
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",joanne.wickham@ntschools.net,(08) 8956 0927,https://directory.ntschools.net/#/schools/details/titjisch
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@ntschools.net,(08) 8975 0714,https://directory.ntschools.net/#/schools/details/timbesch
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",rosemary.sullivan@ntschools.net,(08) 8978 2765,https://directory.ntschools.net/#/schools/details/tippesch
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",kim.omar@ntschools.net,(08) 8956 9743,https://directory.ntschools.net/#/schools/details/titresch
TESTGOVSCHOOL2,"n/a, n/a, NT","n/a, n/a, 0, n/a",n/a,n/a,https://directory.ntschools.net/#/schools/details/TESTGOVSCH2
TESTGOVSCHOOL1,"n/a, n/a, NT","n/a, n/a, 0, n/a",n/a,n/a,https://directory.ntschools.net/#/schools/details/TESTGOVSCH1
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@ntschools.net,(08) 896 32424,https://directory.ntschools.net/#/schools/details/tennasch
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@ntschools.net,(08) 8962 2102,https://directory.ntschools.net/#/schools/details/tennahs
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@ntschools.net,(08) 898 37000,https://directory.ntschools.net/#/schools/details/taminhs
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@ntschools.net,(08) 899 77333,https://directory.ntschools.net/#/schools/details/stuarsch
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","Stirling Station, via Alice Springs, 0872, NT",marita.mckenzie@ntschools.net,(08) 8956 9759,https://directory.ntschools.net/#/schools/details/stirlsch
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@ntschools.net,(08) 8956 7330,https://directory.ntschools.net/#/schools/details/wallasch
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511,https://directory.ntschools.net/#/schools/details/stphisch
St Pauls Catholic School,"41 Francis St, Rapid Creek, NT","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au,(08) 8985 1937,https://directory.ntschools.net/#/schools/details/stpausch
St Joseph's Flexible Learning Centre,"Youth Hub, 3 Wills Terrace, , Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",stjosephsASFLC@youthplus.edu.au,0408 568 357,https://directory.ntschools.net/#/schools/details/stjosephsflexiblelearningcentre
St Mary's Catholic School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796,https://directory.ntschools.net/#/schools/details/stmarsch
St Joseph's Catholic College,"Maluka Rd, Katherine East, NT","PO Box 535, Katherine, 0850, NT",admin.stjosephs@nt.catholic.edu.au,(08) 89723555,https://directory.ntschools.net/#/schools/details/stjoshs
St Francis Xavier School,"n/a, Nauiyu, NT","PMB 28, Daly River, 0822, NT",dr.adminbox@nt.catholic.edu.au,(08) 8978 2427,https://directory.ntschools.net/#/schools/details/stfrxsch
St Johns Catholic College,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au,(08) 8982 2222,https://directory.ntschools.net/#/schools/details/stjohhs
St Francis Assisi School,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, 0836, NT",admin.sfas@nt.catholic.edu.au,(08) 8988 1212,https://directory.ntschools.net/#/schools/details/stfrasch
St Andrew Lutheran School,"94 Leanyer Dr, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300,https://directory.ntschools.net/#/schools/details/standsch
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@ntschools.net,(08) 8987 9044,https://directory.ntschools.net/#/schools/details/shephcec
Sattler Christian College,"15 Sattler Cres, Freds Pass, NT","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net,7922 1500,https://directory.ntschools.net/#/schools/details/litchsch
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@ntschools.net,(08) 8927 8899,https://directory.ntschools.net/#/schools/details/sandehs
Sacred Heart Primary School,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au,(08) 8924 8700,https://directory.ntschools.net/#/schools/details/sacresch
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@ntschools.net,(08) 792 30100,https://directory.ntschools.net/#/schools/details/rosebsch
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@ntschools.net,(08) 8922 8736,https://directory.ntschools.net/#/schools/details/dhospsch
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000,https://directory.ntschools.net/#/schools/details/rosspsch
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",nerida.beattie@ntschools.net,(08) 8964 4675,https://directory.ntschools.net/#/schools/details/rockhasch
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",merryn.curley@ntschools.net,(08) 8975 9956,https://directory.ntschools.net/#/schools/details/robinsch
Ramingining School,"N/A, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0821, NT",sue.mcavoy@ntschools.net,(08) 8979 7924,https://directory.ntschools.net/#/schools/details/ramincec
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",ashley.anderson@ntschools.net,(08) 8978 3961,https://directory.ntschools.net/#/schools/details/pularsch
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",cheryl.glasgow@ntschools.net,(08) 8976 1228,https://directory.ntschools.net/#/schools/details/pinecsch
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",anne.pollock@ntschools.net,(08) 8975 0812,https://directory.ntschools.net/#/schools/details/pigeosch
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",chelsea.collins@ntschools.net,(08) 8978 2455,https://directory.ntschools.net/#/schools/details/peppisch
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@ntschools.net,(08) 898 22922,https://directory.ntschools.net/#/schools/details/parapsch
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",papunya.admin@ntschools.net,(08) 8956 8515 or (08) 8956 8323,https://directory.ntschools.net/#/schools/details/papunsch
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@ntschools.net,(08) 899 77999,https://directory.ntschools.net/#/schools/details/palmcsch
Palmerston Christian School,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",admin.pcs@ntschools.net,(08) 7922 5600,https://directory.ntschools.net/#/schools/details/palmesch
OLSH Thamarrurr Catholic College,"n/a, Wadeye (Port Keats), NT","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477,https://directory.ntschools.net/#/schools/details/olshpsch
OLSH Primary School,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,https://directory.ntschools.net/#/schools/details/olshbsch
OLSH College - Sadadeen Campus,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,https://directory.ntschools.net/#/schools/details/olshssch
OLSH College - Traeger Campus,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,https://directory.ntschools.net/#/schools/details/olshtsch
O'Loughlin Catholic College,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277,https://directory.ntschools.net/#/schools/details/oloughs
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",peter.baldry@ntschools.net,(08) 8956 8880,https://directory.ntschools.net/#/schools/details/nyirrsch
Nyangatjatjara College - Yulara Campus,"N/A, Yulara, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 2555,https://directory.ntschools.net/#/schools/details/nyangatjatjaracollegeyularacampus
Nyangatjatjara College - Imanpa Campus,"not available, not available, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7038,https://directory.ntschools.net/#/schools/details/nyangatjatjaracollegeimanpacampus
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",cheryl.dwyer@ntschools.net,(08) 8975 4650,https://directory.ntschools.net/#/schools/details/numbusch
Nyangatjatjara College - Docker Rvr Campus,"N/A, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7098,https://directory.ntschools.net/#/schools/details/nyandsch
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",ntariasch.admin@ntschools.net,(08) 8956 7424,https://directory.ntschools.net/#/schools/details/ntarisch
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@ntschools.net,(08) 892 22292,https://directory.ntschools.net/#/schools/details/ntoec
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@ntschools.net,(08) 8948 8488,https://directory.ntschools.net/#/schools/details/nightsch
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@ntschools.net,(08) 896 35550,https://directory.ntschools.net/#/schools/details/ntmsdrw
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@ntschools.net,(08) 898 37677,https://directory.ntschools.net/#/schools/details/nighths
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@ntschools.net,(08) 8987 0844,https://directory.ntschools.net/#/schools/details/nhuluhs
Nhulunbuy Christian School,"N/A, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net,(08) 8965 2900,https://directory.ntschools.net/#/schools/details/nhulucsc
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@ntschools.net,(08) 898 70022,https://directory.ntschools.net/#/schools/details/nhulusch
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@ntschools.net,(08) 8975 4680,https://directory.ntschools.net/#/schools/details/ngukucec
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",tim.webb@ntschools.net,(08) 8978 2380,https://directory.ntschools.net/#/schools/details/nganmsch
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",emily.hubbert@ntschools.net,(08) 8964 4566,https://directory.ntschools.net/#/schools/details/newcasch
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",roseanna.brunker@ntschools.net,(08) 8978 2001,https://directory.ntschools.net/#/schools/details/nganasch
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",lance.sharp@ntschools.net,(08) 8956 9754,https://directory.ntschools.net/#/schools/details/neutrsch
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@ntschools.net,(08) 8985 0400,https://directory.ntschools.net/#/schools/details/nemarsch
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@ntschools.net,(08) 8956 2547,https://directory.ntschools.net/#/schools/details/mutitsch
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@ntschools.net,(08) 8927 9823,https://directory.ntschools.net/#/schools/details/nakarsch
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, Nguiu, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au,(08) 8978 3986,https://directory.ntschools.net/#/schools/details/murrupurtiyanuwucatholicprimaryschool
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",janet.purje@ntschools.net,(08) 8964 1951,https://directory.ntschools.net/#/schools/details/murrasch
Mount Allan School,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT",phil.bartley@ntschools.net,(08) 8956 8860,https://directory.ntschools.net/#/schools/details/mtallsch
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",pesala.brown@ntschools.net,(08) 8956 9712,https://directory.ntschools.net/#/schools/details/mulgasch
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",mouldenps.admin@ntschools.net,(08) 8930 5900,https://directory.ntschools.net/#/schools/details/mouldsch
Mother Teresa Catholic Primary School,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600,https://directory.ntschools.net/#/schools/details/mtcpssch
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@ntschools.net,(08) 898 37530,https://directory.ntschools.net/#/schools/details/moilsch
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",jess.robinson@ntschools.net,(08) 8975 9972,https://directory.ntschools.net/#/schools/details/minyesch
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@ntschools.net,(08) 898 37900,https://directory.ntschools.net/#/schools/details/eilhsch
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",alessa.fremmer@ntschools.net,(08) 8987 6084,https://directory.ntschools.net/#/schools/details/milyasch
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@ntschools.net,(08) 792 30333,https://directory.ntschools.net/#/schools/details/millnsch
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",josie.skelton@ntschools.net,(08) 8987 9902,https://directory.ntschools.net/#/schools/details/milincec
Milkwood Steiner,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 319, Karama, 0812, NT",info@milkwood.nt.edu.au,08 8947 0608,https://directory.ntschools.net/#/schools/details/milkwoodsteiner
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",kathryn.leo@ntschools.net,(08) 8978 3960,https://directory.ntschools.net/#/schools/details/miliksch
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@ntschools.net,(08) 8988 1688,https://directory.ntschools.net/#/schools/details/middlsch
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@ntschools.net,(08) 8956 8503,https://directory.ntschools.net/#/schools/details/mbungsch
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",telka.zotz@ntschools.net,(08) 8975 4543,https://directory.ntschools.net/#/schools/details/matarsch
Marrara Christian School,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net,(08) 8920 2000,https://directory.ntschools.net/#/schools/details/marrahs
Mapuru Yirralka College,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",linda.miller@ntschools.net,(08) 8970 4996,https://directory.ntschools.net/#/schools/details/mapursch
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@ntschools.net,(08) 8975 4438,https://directory.ntschools.net/#/schools/details/manyasch
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@ntschools.net,(08) 899 77366,https://directory.ntschools.net/#/schools/details/manunsch
Maningrida School,"N/A, Maningrida, 0822, NT","PMB 67, via WINNELLIE, 0822, NT",maningrida.cec@ntschools.net,(08) 8979 5950,https://directory.ntschools.net/#/schools/details/manincec
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",adam.dicks1@ntschools.net,(08) 8979 0255,https://directory.ntschools.net/#/schools/details/mamarsch
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@ntschools.net,(08) 899 77600,https://directory.ntschools.net/#/schools/details/malaksch
Mackillop Catholic College,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au,08 8930 5757,https://directory.ntschools.net/#/schools/details/mackims
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@ntschools.net,(08) 896 51700,https://directory.ntschools.net/#/schools/details/macfasch
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@ntschools.net,(08) 898 37888,https://directory.ntschools.net/#/schools/details/ludmisch
Ltyentye Apurte CEC,"N/A, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",admin.lace@nt.catholic.edu.au,(08) 8956 0937,https://directory.ntschools.net/#/schools/details/ltyencec
