hospital_name,phone,address,url
Cornerstone Animal Hospital,,"1600 E Tudor Rd # 301, Anchorage, AK, 99507.",http://www.findalocalvet.com/Profiles/Cornerstone-Animal-Hospital.aspx
Diamond Animal Hospital,,"2545 E Tudor Rd, Anchorage, AK, 99507.",http://www.findalocalvet.com/Profiles/Diamond-Animal-Hospital.aspx
VCA Alpine Animal Hospital,,"12531 Old Seward Hwy, Anchorage, AK, 99515.",http://www.findalocalvet.com/Profiles/VCA-Alpine-Animal-Hospital.aspx
VCA East Anchorage Animal,,"2639 Boniface Pkwy, Anchorage, AK, 99504.",http://www.findalocalvet.com/Profiles/VCA-East-Anchorage-Animal.aspx
Hillside Pet Clinic,,"2101 Abbott Rd # 1, Anchorage, AK, 99507.",http://www.findalocalvet.com/Profiles/Hillside-Pet-Clinic2.aspx
Southwest Farm & Home Ctr,,"26321 US Highway 281 N, San Antonio, TX, 78258.",http://www.findalocalvet.com/Profiles/Southwest-Farm-Home-Ctr.aspx
Pleasanton Road Animal Hospital,(210) 922-8387,"3810 Pleasanton Road, San Antonio, TX, 78221.",http://www.findalocalvet.com/Profiles/Pleasanton-Road-Animal-Hospital.aspx
Highland Animal Clinic,,"11650 Old Seward Hwy, Anchorage, AK, 99515.",http://www.findalocalvet.com/Profiles/Highland-Animal-Clinic.aspx
Deerfield Animal Hospital,,"14855 Blanco Rd # 104, San Antonio, TX, 78216.",http://www.findalocalvet.com/Profiles/Deerfield-Animal-Hospital.aspx
Thomas L Hanna DVM,,"20770 US Highway 281 N, San Antonio, TX, 78258.",http://www.findalocalvet.com/Profiles/Thomas-L-Hanna-DVM.aspx
Leon Valley Veterinary Hospital,(210) 681-1391,"6701 Bandera Rd, San Antonio, TX, 78238.",http://www.findalocalvet.com/Profiles/Leon-Valley-Veterinary-Hospital.aspx
Alaska Veterinary Clinic,,"300 E Fireweed Ln, Anchorage, AK, 99503.",http://www.findalocalvet.com/Profiles/Alaska-Veterinary-Clinic.aspx
Becker Animal Hospital,(210) 732-5148,"6515 West IH 10, San Antonio, TX, 78201.",http://www.findalocalvet.com/Profiles/Becker-Animal-Hospital.aspx
Eagle Veterinary Hospital,(210) 822-5211,"4701 Mccullough Avenue, San Antonio, TX, 78212.",http://www.findalocalvet.com/Profiles/Eagle-Veterinary-Hospital.aspx
Broadway Oaks Animal Hospital,(210) 824-7481,"8221 Broadway St, San Antonio, TX, 78209.",http://www.findalocalvet.com/Profiles/Broadway-Oaks-Animal-Hospital.aspx
Boerne Stage Veterinary Clinic,(210) 698-0400,"25239 Boerne Stage Rd, San Antonio, TX, 78255.",http://www.findalocalvet.com/Profiles/Boerne-Stage-Veterinary-Clinic.aspx
Alamo Dog & Cat Hospital,(210) 922-1231,"1619 Pleasanton Road, San Antonio, TX, 78221.",http://www.findalocalvet.com/Profiles/Alamo-Dog-Cat-Hospital.aspx
Ten-West Bird & Animal Hosp,,"12727 Mountain Air, San Antonio, TX, 78249.",http://www.findalocalvet.com/Profiles/Ten-West-Bird-Animal-Hosp.aspx
Affordable Pet Care,(210) 684-2273,"5443 Grissom Road, San Antonio, TX, 78238.",http://www.findalocalvet.com/Profiles/Affordable-Pet-Care.aspx
Loop 410 Veterinary Hospital,(210) 824-7344,"9901 Broadway St, Ste 108, San Antonio, TX, 78217.",http://www.findalocalvet.com/Profiles/Loop-410-Veterinary-Hospital.aspx
Blanco North Animal Hospital,(210) 492-7373,"14325 Blanco Road, San Antonio, TX, 78248.",http://www.findalocalvet.com/Profiles/Blanco-North-Animal-Hospital.aspx
Fredericksburg Road Animal,,"3493 Fredericksburg Rd, San Antonio, TX, 78201.",http://www.findalocalvet.com/Profiles/Fredericksburg-Road-Animal.aspx
Pet Medical Ctr of San Antonio,(210) 681-8333,"7811 Mainland Drive, San Antonio, TX, 78250.",http://www.findalocalvet.com/Profiles/Pet-Medical-Ctr-of-San-Antonio.aspx
Babcock Hills Veterinary Hospital,(210) 697-8581,"6600 Prue Road, San Antonio, TX, 78240.",http://www.findalocalvet.com/Profiles/Babcock-Hills-Veterinary-Hospital.aspx
Blanco Crossing Veterinary Hospital,(210) 764-2400,"19179 Blanco Rd, Ste 104, San Antonio, TX, 78258.",http://www.findalocalvet.com/Profiles/Blanco-Crossing-Veterinary-Hospital.aspx
Acequia Animal Hospital,(505) 898-1050,"3600 Calle Cuervo Nw, Albuquerque, NM, 87114.",http://www.findalocalvet.com/Profiles/Acequia-Animal-Hospital.aspx
Mobile Veterinary Svc,,"PO Box 94118, Albuquerque, NM, 87199.",http://www.findalocalvet.com/Profiles/Mobile-Veterinary-Svc2.aspx
Perrin 410 Animal Hospital,(210) 650-3141,"8365 Perrin Beitel Rd, San Antonio, TX, 78218.",http://www.findalocalvet.com/Profiles/Perrin-410-Animal-Hospital.aspx
TLC Pet & Uptown Cat Hospital,(505) 271-2287,"2632 Pennsylvania Avenue, Albuquerque, NM, 87110.",http://www.findalocalvet.com/Profiles/TLC-Pet-Uptown-Cat-Hospital.aspx
Good Shepherd Animal Clinic,,"4601 Menaul Blvd NE, Albuquerque, NM, 87110.",http://www.findalocalvet.com/Profiles/Good-Shepherd-Animal-Clinic.aspx
Eubank Animal Clinic,,"1601 Eubank Blvd NE, Albuquerque, NM, 87112.",http://www.findalocalvet.com/Profiles/Eubank-Animal-Clinic.aspx
Dermatology Clinic for Animals,,"4000 Montgomery Blvd NE, Albuquerque, NM, 87109.",http://www.findalocalvet.com/Profiles/Dermatology-Clinic-for-Animals.aspx
Corder Companion Animal Clinic,,"4351 Mccullough Ave, San Antonio, TX, 78212.",http://www.findalocalvet.com/Profiles/Corder-Companion-Animal-Clinic.aspx
Albuquerque Animal Emergency,,"4000 Montgomery Blvd NE, Albuquerque, NM, 87109.",http://www.findalocalvet.com/Profiles/Albuquerque-Animal-Emergency.aspx
Cole & Elliott,,"4021 Isleta Blvd SW, Albuquerque, NM, 87105.",http://www.findalocalvet.com/Profiles/Cole-Elliott.aspx
Abide Mobile Dog & Cat Clinic,,"2873 Brushwood St NE, Albuquerque, NM, 87122.",http://www.findalocalvet.com/Profiles/Abide-Mobile-Dog-Cat-Clinic.aspx
Town & Country Animal Hospital,,"8414 4th St NW, Albuquerque, NM, 87114.",http://www.findalocalvet.com/Profiles/Town-Country-Animal-Hospital3.aspx
Banfield the Pet Hospital,,"8070 Academy Rd NE, Albuquerque, NM, 87111.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital18.aspx
ABQ Pet Vets,,"9032 Montgomery Blvd NE # B, Albuquerque, NM, 87111.",http://www.findalocalvet.com/Profiles/ABQ-Pet-Vets.aspx
Animal Humane New Mexico Clnc,,"615 Virginia St SE, Albuquerque, NM, 87108.",http://www.findalocalvet.com/Profiles/Animal-Humane-New-Mexico-Clnc.aspx
Todd Webster DVM,,"5604 Mosquero Ct NW, Albuquerque, NM, 87120.",http://www.findalocalvet.com/Profiles/Todd-Webster-DVM.aspx
Rio Grande Animal Clinic,,"1913 Candelaria Rd NW, Albuquerque, NM, 87107.",http://www.findalocalvet.com/Profiles/Rio-Grande-Animal-Clinic.aspx
Towne North Animal Hospital,(210) 494-2178,"13335 San Pedro Ave, San Antonio, TX, 78216.",http://www.findalocalvet.com/Profiles/Towne-North-Animal-Hospital.aspx
Petroglyph Animal Hospital,,"6633 Caminito Coors NW, Albuquerque, NM, 87120.",http://www.findalocalvet.com/Profiles/Petroglyph-Animal-Hospital.aspx
VCA Veterinary Care Animal,,"9901 Montgomery Blvd NE, Albuquerque, NM, 87111.",http://www.findalocalvet.com/Profiles/VCA-Veterinary-Care-Animal.aspx
Hillside Veterinary Hospital,,"2364 Fort Union Blvd, Salt Lake City, UT, 84121.",http://www.findalocalvet.com/Profiles/Hillside-Veterinary-Hospital.aspx
Desert Hills Animal Clinic,,"7120 Wyoming Blvd NE # B3, Albuquerque, NM, 87109.",http://www.findalocalvet.com/Profiles/Desert-Hills-Animal-Clinic.aspx
Large Animal Internal Medicine,,"416 Solar Rd NW, Albuquerque, NM, 87107.",http://www.findalocalvet.com/Profiles/Large-Animal-Internal-Medicine.aspx
Banfield the Pet Hospital,,"3081 S 5600 W, Salt Lake City, UT, 84120.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital.aspx
Monroe Veterinary Options,,"5133 Loredell St, Salt Lake City, UT, 84117.",http://www.findalocalvet.com/Profiles/Monroe-Veterinary-Options.aspx
Vet-Co,,"8200 Menaul Blvd NE # R, Albuquerque, NM, 87110.",http://www.findalocalvet.com/Profiles/Vet-Co.aspx
Wasatch Springs Animal Hosp,,"855 Beck St, Salt Lake City, UT, 84103.",http://www.findalocalvet.com/Profiles/Wasatch-Springs-Animal-Hosp.aspx
Jem's Vet Care,,"4663 W 6200 S # C, Salt Lake City, UT, 84118.",http://www.findalocalvet.com/Profiles/Jems-Vet-Care.aspx
St Francis Animal Clinic,,"6401 Menaul Blvd NE, Albuquerque, NM, 87110.",http://www.findalocalvet.com/Profiles/St-Francis-Animal-Clinic.aspx
Banfield the Pet Hospital,,"5748 S Redwood Rd, Salt Lake City, UT, 84123.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital72.aspx
East Valley Veterinary Clinic,,"2165 E 2100 S, Salt Lake City, UT, 84109.",http://www.findalocalvet.com/Profiles/East-Valley-Veterinary-Clinic.aspx
Salt Lake Veterinary Svc PC,,"4020 Howick St, Salt Lake City, UT, 84107.",http://www.findalocalvet.com/Profiles/Salt-Lake-Veterinary-Svc-PC.aspx
Millcreek Veterinary Clinic,,"2361 E 3300 S, Salt Lake City, UT, 84109.",http://www.findalocalvet.com/Profiles/Millcreek-Veterinary-Clinic.aspx
Healing Hearts Animal Hospital,,"280 W 4800 S, Salt Lake City, UT, 84107.",http://www.findalocalvet.com/Profiles/Healing-Hearts-Animal-Hospital.aspx
Midvalley Animal Clinic,,"6047 S Redwood Rd, Salt Lake City, UT, 84123.",http://www.findalocalvet.com/Profiles/Midvalley-Animal-Clinic.aspx
Carmel Mountain Ranch Veterinary Hospital,(858) 592-9779,"11925 Carmel Mountain Rd, San Diego, CA, 92128.",http://www.findalocalvet.com/Profiles/Carmel-Mountain-Ranch-Veterinary-Hospital.aspx
Advanced Veterinary Care,,"1021 E 3300 S, Salt Lake City, UT, 84106.",http://www.findalocalvet.com/Profiles/Advanced-Veterinary-Care.aspx
Friars Road Pet Hospital,(619) 282-7677,"10433 Friars Rd, Ste F, San Diego, CA, 92120.",http://www.findalocalvet.com/Profiles/Friars-Road-Pet-Hospital.aspx
Scripps Parkway Veterinary Hospital,(858) 695-9996,"10755 Scripps Poway Pky, San Diego, CA, 92131.",http://www.findalocalvet.com/Profiles/Scripps-Parkway-Veterinary-Hospital.aspx
Eye Clinic for Animals,,"5610 Kearny Mesa Rd # A, San Diego, CA, 92111.",http://www.findalocalvet.com/Profiles/Eye-Clinic-for-Animals.aspx
Penasquitos Pet Clinic,(858) 484-1260,"9728 Carmel Mountain Rd, Ste E, San Diego, CA, 92129.",http://www.findalocalvet.com/Profiles/Penasquitos-Pet-Clinic.aspx
Southern California Veterinary,(858) 279-2108,"5610 Kearny Mesa Rd, Suite B1, San Diego, CA, 92111.",http://www.findalocalvet.com/Profiles/Southern-California-Veterinary.aspx
A Animal ER Of San Diego,,"5610 Kearny Mesa Rd, San Diego, CA, 92111.",http://www.findalocalvet.com/Profiles/A-Animal-ER-Of-San-Diego.aspx
Boulevard Animal Clinic,,"7047 El Cajon Blvd, San Diego, CA, 92115.",http://www.findalocalvet.com/Profiles/Boulevard-Animal-Clinic.aspx
Large Animal Clinic,,"9300 Guadalupe Trl NW, Albuquerque, NM, 87114.",http://www.findalocalvet.com/Profiles/Large-Animal-Clinic.aspx
Kearny Mesa Veterinary Center,(858) 279-3000,"7677 Ronson Road, San Diego, CA, 92111.",http://www.findalocalvet.com/Profiles/Kearny-Mesa-Veterinary-Center.aspx
Shelter Island Veterinary Hospital,(619) 222-0597,"3625 Midway Drive, Suite T, San Diego  , CA, 92110.",http://www.findalocalvet.com/Profiles/Shelter-Island-Veterinary-Hospital.aspx
Market Street Veterinary Clinic,(619) 230-1220,"1051 Market St, San Diego, CA, 92101.",http://www.findalocalvet.com/Profiles/Market-Street-Veterinary-Clinic.aspx
San Carlos Veterinary Hospital,(619) 460-3100,"8618 Lake Murray Blvd, San Diego, CA, 92119.",http://www.findalocalvet.com/Profiles/San-Carlos-Veterinary-Hospital.aspx
Latin American Vet Med Assn,,"5530 University Ave, San Diego, CA, 92105.",http://www.findalocalvet.com/Profiles/Latin-American-Vet-Med-Assn.aspx
Lifetime Animal Care Center,(858) 274-1760,"4941 Clairemont Dr, #G, San Diego, CA, 92117.",http://www.findalocalvet.com/Profiles/Lifetime-Animal-Care-Center.aspx
Banfield the Pet Hospital,,"3396 Murphy Canyon Rd, San Diego, CA, 92123.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital15.aspx
Balboa Veterinary Hospital,(858) 279-0425,"7931 Balboa Avenue, San Diego, CA, 92111.",http://www.findalocalvet.com/Profiles/Balboa-Veterinary-Hospital.aspx
Governor Animal Clinic,,"3240 Governor Dr, San Diego, CA, 92122.",http://www.findalocalvet.com/Profiles/Governor-Animal-Clinic.aspx
Dermatology Clinic for Animals,,"1892 Fort Union Blvd, Salt Lake City, UT, 84121.",http://www.findalocalvet.com/Profiles/Dermatology-Clinic-for-Animals2.aspx
Rose Canyon Animal Hospital,(858) 273-4680,"4295 Jutland Dr, San Diego, CA, 92117.",http://www.findalocalvet.com/Profiles/Rose-Canyon-Animal-Hospital.aspx
Bay Park Veterinary Clinic,(619) 276-1616,"3024 Hancock St, San Diego, CA, 92110.",http://www.findalocalvet.com/Profiles/Bay-Park-Veterinary-Clinic.aspx
Bayside Veterinary Hospital,(619) 225-8000,"1270 Scott Street, San Diego, CA, 92106.",http://www.findalocalvet.com/Profiles/Bayside-Veterinary-Hospital.aspx
NE Equine Veterinary Clinic,,"9620 N 132nd St, Omaha, NE, 68142.",http://www.findalocalvet.com/Profiles/NE-Equine-Veterinary-Clinic.aspx
Banfield the Pet Hospital,,"389 W 1830 S # 200, Salt Lake City, UT, 84115.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital71.aspx
Community Animal Hospital,,"9018 Fort St, Omaha, NE, 68134.",http://www.findalocalvet.com/Profiles/Community-Animal-Hospital3.aspx
Southwest Animal Hospital Pc,,"3540 Q St, Omaha, NE, 68107.",http://www.findalocalvet.com/Profiles/Southwest-Animal-Hospital-Pc.aspx
Veterinary Surgical Specialists,(858) 560-8006,"5610 Kearny Mesa Road , Suite B, San Diego, CA, 92111.",http://www.findalocalvet.com/Profiles/Veterinary-Surgical-Specialists.aspx
Millard Veterinary Clinic,,"17935 Welch Plz # 102, Omaha, NE, 68135.",http://www.findalocalvet.com/Profiles/Millard-Veterinary-Clinic.aspx
Foothill Animal Clinic,,"2675 Parleys Way, Salt Lake City, UT, 84109.",http://www.findalocalvet.com/Profiles/Foothill-Animal-Clinic.aspx
Backlund Animal Clinic,(402) 334-1580,"2616 South 158th Plaza, Omaha, NE, 68130.",http://www.findalocalvet.com/Profiles/Backlund-Animal-Clinic2.aspx
Best Care Pet Hospital,,"5305 N 108th St, Omaha, NE, 68164.",http://www.findalocalvet.com/Profiles/Best-Care-Pet-Hospital.aspx
Ralston Veterinary Clinic Incorporated,(402) 331-6322,"6880 S 78th Street, Ralston, NE, 68127.",http://www.findalocalvet.com/Profiles/Ralston-Veterinary-Clinic-Incorporated.aspx
Banfield the Pet Hospital,,"6220 N 73rd Plz, Omaha, NE, 68134.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital64.aspx
Turquoise Animal Hospital,(858) 488-0658,"950 Turquoise St, San Diego, CA, 92109.",http://www.findalocalvet.com/Profiles/Turquoise-Animal-Hospital.aspx
Midwestvet,,"9706 Mockingbird Dr, Omaha, NE, 68127.",http://www.findalocalvet.com/Profiles/Midwestvet.aspx
Benson Animal Clinic,,"4417 N 61st St, Omaha, NE, 68104.",http://www.findalocalvet.com/Profiles/Benson-Animal-Clinic.aspx
Banfield the Pet Hospital,,"3103 Oak View Dr, Omaha, NE, 68144.",http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital65.aspx
Penasquito Pet Clinic,(858) 484-1260,"9728 Carmel Mountain Rd, Suite E, San Diego, CA, 92129.",http://www.findalocalvet.com/Profiles/Penasquito-Pet-Clinic.aspx
Miracle Hills Animal Hospital,,"606 N 114th St, Omaha, NE, 68154.",http://www.findalocalvet.com/Profiles/Miracle-Hills-Animal-Hospital.aspx
Backlund Animal Clinic,,"2616 S 158th Plz, Omaha, NE, 68130.",http://www.findalocalvet.com/Profiles/Backlund-Animal-Clinic.aspx
Rockbrook Animal Clinic,,"2814 S 107th Ave, Omaha, NE, 68124.",http://www.findalocalvet.com/Profiles/Rockbrook-Animal-Clinic.aspx
24th Street Animal Clinic,,"3258 S 24th St, Omaha, NE, 68108.",http://www.findalocalvet.com/Profiles/24th-Street-Animal-Clinic.aspx
Animal Spay-Neuter Clinic,,"4970 NW Radial Hwy, Omaha, NE, 68104.",http://www.findalocalvet.com/Profiles/Animal-Spay-Neuter-Clinic.aspx
Caring for Cats,(215) 509-6060,"100 Leverington Ave, Philadelphia, PA, 19127.",http://www.findalocalvet.com/Profiles/Caring-for-Cats.aspx
Chestnut Hill Cat Clinic,(215) 247-9560,"8220 Germantown Ave, Philadelphia, PA, 19118.",http://www.findalocalvet.com/Profiles/Chestnut-Hill-Cat-Clinic.aspx
Society Hill Veterinary Hospital,(215) 627-5955,"501 S 2nd St, Phila, PA, 19147.",http://www.findalocalvet.com/Profiles/Society-Hill-Veterinary-Hospital.aspx
Compassion Veterinary Clinic,(888) 593-2191,"9324 State Rd, Philadelphia, PA, 19114.",http://www.findalocalvet.com/Profiles/Compassion-Veterinary-Clinic.aspx
South Orlando Animal Hospital,(407) 855-1297,"11265 S Orange Blossom Trail, Orlando, FL, 32837.",http://www.findalocalvet.com/Profiles/South-Orlando-Animal-Hospital.aspx
Animal Clinic Suburban,,"14203 Pacific St, Omaha, NE, 68154.",http://www.findalocalvet.com/Profiles/Animal-Clinic-Suburban.aspx
Kirkman Area Animal Clinic,(407) 295-7547,"5633 Metro West Blvd., Orlando, FL, 32811.",http://www.findalocalvet.com/Profiles/Kirkman-Area-Animal-Clinic.aspx
Animal Hospital at Vista Lakes,(407) 380-3011,"8770 Lee Vista Blvd, Orlando, FL, 32829.",http://www.findalocalvet.com/Profiles/Animal-Hospital-at-Vista-Lakes.aspx
Kindred Spirits Animal Clinic,(407) 855-1350,"7306 S Orange Blossom Trl, Orlando, FL, 32809.",http://www.findalocalvet.com/Profiles/Kindred-Spirits-Animal-Clinic.aspx
Fort Street Veterinarian,,"14345 Fort St # 500, Omaha, NE, 68164.",http://www.findalocalvet.com/Profiles/Fort-Street-Veterinarian.aspx
Loch Haven Veterinary Hospital,(407) 896-0941,"2000 North Mills Avenue, Orlando, FL, 32803.",http://www.findalocalvet.com/Profiles/Loch-Haven-Veterinary-Hospital.aspx
Pershing Oaks Animal Hospital,(407) 494-4975,"3240 S Goldenrod Road, Orlando, FL, 32822.",http://www.findalocalvet.com/Profiles/Pershing-Oaks-Animal-Hospital.aspx
University Animal Hospital PA,(407) 657-7297,"9357 University Blvd, Orlando, FL, 32817.",http://www.findalocalvet.com/Profiles/University-Animal-Hospital-PA.aspx
Union Park Animal Hospital,(407) 273-6010,"10640 E Colonial Dr, Orlando, FL, 32817.",http://www.findalocalvet.com/Profiles/Union-Park-Animal-Hospital.aspx
Hiawassee Veterinary Clinic,(407) 299-3969,"6525 Old Winter Garden Rd, Orlando, FL, 32835.",http://www.findalocalvet.com/Profiles/Hiawassee-Veterinary-Clinic.aspx
Main Street Animal Clinic,,"4331 Main St, Philadelphia, PA, 19127.",http://www.findalocalvet.com/Profiles/Main-Street-Animal-Clinic.aspx
Omaha Animal Hospital PC,,"4908 L St, Omaha, NE, 68117.",http://www.findalocalvet.com/Profiles/Omaha-Animal-Hospital-PC.aspx
Veterinary Emergency Clinic,,"2080 Principal Row, Orlando, FL, 32837.",http://www.findalocalvet.com/Profiles/Veterinary-Emergency-Clinic.aspx
Jernigan N B DVM,,"6003 S 102nd St, Omaha, NE, 68127.",http://www.findalocalvet.com/Profiles/Jernigan-N-B-DVM.aspx
