plyer_name,year,season_name,wk,game_date,opp,g,gs,urk
Adge Amsog,1985,Regular Season,7,10/20,MIA,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,8,10/27,NE,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,9,11/03,NYG,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,10,11/10,STL,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,11,11/17,NYJ,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,12,11/24,DET,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,13,12/01,GB,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,14,12/08,MIN,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Adge Amsog,1985,Regular Season,15,12/15,IND,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Jessie Amsead,2003,Regular Season,6,10/12,TB,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,7,10/19,BUF,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,8,Bye,,--,--,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,9,11/02,DAL,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,10,11/09,SEA,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,11,11/16,CAR,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,12,11/23,MIA,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Phil Amou,2000,Regular Season,16,12/17,MIA,0,0,http://www.nfl.com/player/philarmour/2499452/gamelogs
Phil Amou,2000,Regular Season,17,12/24,MIN,0,0,http://www.nfl.com/player/philarmour/2499452/gamelogs
Phil Amou,2000,Regular Season,18,12/30,MIA,0,0,http://www.nfl.com/player/philarmour/2499452/gamelogs
Adge Amsog,1985,Regular Season,16,12/22,GB,1,--,http://www.nfl.com/player/adgerarmstrong/2508627/gamelogs
Jessie Amsead,2003,Regular Season,13,11/30,NO,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,14,12/07,NYG,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,15,12/14,DAL,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,16,12/21,CHI,1,0,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
Jessie Amsead,2003,Regular Season,17,12/27,PHI,1,1,http://www.nfl.com/player/jessiearmstead/2499453/gamelogs
R.J. Ache,2015,Preseason,1,08/14,DEN,1,0,http://www.nfl.com/player/r.j.archer/2508608/gamelogs
R.J. Ache,2015,Preseason,2,08/21,KC,1,0,http://www.nfl.com/player/r.j.archer/2508608/gamelogs
R.J. Ache,2015,Preseason,3,08/29,SD,1,0,http://www.nfl.com/player/r.j.archer/2508608/gamelogs
R.J. Ache,2015,Preseason,4,09/03,OAK,1,0,http://www.nfl.com/player/r.j.archer/2508608/gamelogs
David Aki,2016,Preseason,1,08/13,DAL,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,2,08/20,KC,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,3,08/27,DEN,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,4,09/01,MIN,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,15,12/15,SEA,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,16,12/24,SF,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,17,01/01,ARI,0,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,1,08/13,DAL,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,2,08/20,KC,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,3,08/27,DEN,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,4,09/01,MIN,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,15,12/15,SEA,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,16,12/24,SF,1,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
David Aki,2016,Preseason,17,01/01,ARI,0,0,http://www.nfl.com/player/davidarkin/2495112/gamelogs
Obed Aii,1987,Regular Season,4,10/11,NYG,1,--,http://www.nfl.com/player/obedariri/2508621/gamelogs
Obed Aii,1987,Regular Season,5,10/19,DAL,1,--,http://www.nfl.com/player/obedariri/2508621/gamelogs
JoJua Amou,2002,Preseason,1,08/09,BUF,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,2,08/17,IND,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,3,08/24,NO,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,4,08/29,ATL,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,1,09/08,SD,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,2,09/15,CLE,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,3,09/22,ATL,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,4,09/29,TB,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,5,10/06,IND,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,6,10/13,PIT,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,7,Bye,,--,--,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,8,10/27,TEN,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,9,11/03,HOU,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,10,11/10,BAL,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,11,11/17,CLE,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,12,11/24,PIT,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,13,12/01,BAL,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,14,12/08,CAR,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,15,12/15,JAC,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,16,12/22,NO,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,17,12/29,BUF,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,1,08/09,BUF,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,2,08/17,IND,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,3,08/24,NO,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,4,08/29,ATL,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,1,09/08,SD,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,2,09/15,CLE,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,3,09/22,ATL,1,1,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,4,09/29,TB,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,5,10/06,IND,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,6,10/13,PIT,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,7,Bye,,--,--,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,8,10/27,TEN,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
JoJua Amou,2002,Preseason,9,11/03,HOU,1,0,http://www.nfl.com/player/jojuanarmour/2499450/gamelogs
